"","Datetime","Text","score","sentiment"
"16",2021-12-29,"무일푼으로 시작한 기업 현대  금호  롯데 정보통신혁명으로 시작한 기업 네이버  카카오   넷슨 조선시대",0,"neu"
"17",2021-12-28,"                      카카오가          아   혹시 우리 애들 네입어 쪽이라 그런걸까여  하   치사하구 쪼잔하구 벝어랑 펕우댄은 팔다리 짧은 애들로는 만들기 어려운가 싶었어여   근데 기업의 사정이 있을수도 있겠네여    안댜 춘식 나의 사랑인데",0,"neu"
"18",2021-12-28,"카카오는 좆나 깡패같고 양아치짓 재수없는데 아기고양이 춘식이는 너무나 앙증맞아 나같은 개돼지가 저 기업의 하방을 지탱하고 있는것이겠지",-2,"neg"
"19",2021-12-28,"오   카카오는 참 이제 구냥 못댄 중국기업같고 그러네",0,"neu"
"20",2021-12-27,"     상장 준비중인 주요기업   에너지 솔루션 현대오일뱅크 카카오엔터테인먼트 현대엔지니어링                        ",1,"pos"
"21",2021-12-27,"우리 기업들은 이미 전문인력의 양성을 위해 많은 역할을 해 왔습니다  대표적으로     년   월 시작된  삼성 청년 소프트웨어 아카데미         는 지금까지      명이 수료하여 그중      명  수료자의    가 삼성전자  카카오  네이버 등    개 기업에 취업하는 그런 성과가 있었습니다                         ",5,"pos"
"22",2021-12-27,"카카오톡이 대중화되면서 네이버의 영향력이 많이 죽었다 윤석열이 대통령이 된다면 우파의 인물찾기에서 기업과 언론플레이로 대통령이 되는 마리오네트처럼 될 것 같다 기존 정치인들로서는 어이가 없는 정경언유착의 역사가 될 것 같다",2,"pos"
"23",2021-12-27,"                            금융이나 보험사 가지고 있는 기업그룹은 걱정 안해도 되요  그러니 카카오가 그렇게 금융가져 놓고도 보험쪽에 기웃 거리는거죠",-2,"neg"
"24",2021-12-27,"                 전부 다  로 뜨길래 인증하긴 했는데  딴 데는 다 읽히는데 은행은 기업 농협 카카오  카드도 기업은행이랑 연결된 비씨랑 농협이 안 읽히네요      농협  카카오는 점검중이라는데  기업은 대체 왜 안 읽히는지    ",1,"pos"
"25",2021-12-26,"시작은 한국 베끼기  이제는 중국을 지배한다 텐센트는 넷마블 크래프톤        카카오페이 카카오게임즈 등 한국의 대표    기업의 주요 주주이다  특히 텐센트는 주요 주주 위치를 이용해 국내 인기 게임의 중국 판권을 싹쓸이했고  수익도 대부분 가져가고 있다                         ",3,"pos"
"26",2021-12-26,"시작은 한국 베끼기  이제는 중국을 지배한다                             카카오페이  카카오뱅크 각종 중국공산당과 연관된 기업이나 게임회사와는 손절각이다  ",0,"neu"
"27",2021-12-25," 카카오페이식 먹튀  이제 못 한다 신규 상장 기업의 경영진이 스톡옵션 주식매수선택권 을 일정 기간 동안 행사하지 못하도록 제한하는 방안이 추진됩니다  최근 논란이 된  카카오페이 먹튀  사례의 재발을 막겠다는 취지입니다                         ",-3,"neg"
"28",2021-12-22,"얘네 돈독 제대로 오른듯 유니버스 폐지해주세요 씨발아 니네는 카카오 쿠팡보다 더한 기업이야                        ",2,"pos"
"29",2021-12-22,"카카페 들어갔더니 카카오뱅크 광고가 뜨네 계열사의 돌려막기  티원도 테스타 써먹더니 기업들은 다 똑같아 ",2,"pos"
"30",2021-12-22,"뉴스 다이제스트   구글과 카카오  국내외 테크 기업들의 성적표                        ",0,"neu"
"31",2021-12-22,"카카오벤처스  헬스케어 정조준                         헬스케어 부문에서는    엑스선 진단 업체인 루닛     기반 신약 모델링 기업 스탠다임  수면 진단 업체 에이슬립  게임 부문에선  데스티니 차일드 를 개발한 시프트업   트라하 의 모아이게임즈 등 소개       헬스케어  스타트업                            ",1,"pos"
"32",2021-12-21," 카카오가 아무리 자유분방한 조직이라도 해도 이번처럼 기업 이미지에 타격을 입힐 수 있는 중대한 사안을 묵인할 리 없다  자유분방 ",0,"neu"
"33",2021-12-20,"카카오 주식 투자할 가치가 있는 걸까    기업 분석                        ",3,"pos"
"34",2021-12-20,"이글스 인수할 기업 구해요  성심당  백종원  카카오",2,"pos"
"35",2021-12-20,"  텔레콤과 카카오는 공동 출자한      펀드 를 통해     분야 혁신 스타트업에 본격적인 투자를 시작했습니다     와 카카오는 이번에 청각장애인이 운행하는 택시 서비스 기업  시각장애인용 점자 콘텐츠를 제공하는 기업 등에 총  억원을 투자했습니다                                                   ",6,"pos"
"36",2021-12-19,"선생님 하지만 카카오의 기업 이미지는 더 이상 바닥이 없을 정도로 처참한 상태 아닌가요   ",-5,"neg"
"37",2021-12-19,"            하이브 기업설명회에서    에 대해 말하던게 저거였네요 그때도 욕했었는데 참 답이 없어요   저것들은 엔터회사가 아니라 그냥 네이버 카카오같은 대기업이 되고 싶어하는 좆소",-3,"neg"
"38",2021-12-19,"약     지분이라던가  다음 카카오는 매국 기업이라고 봐야하고 국정원에서 털어야 함 ",0,"neu"
"39",2021-12-19,"    기업의 자사주 사용법 카카오     상여금  네이버      제휴                         ",0,"neu"
"40",2021-12-17,"카카오는 지난  일 글로벌 헬스케어 사업을 전담하는 사내독립기업을 출범했다  황희 전 분당서울대병원 소아청소년과 교수를 대표로 선임했다  향후 카카오는 황 교수를 중심으로 의료 데이터    기술을 접목한 헬스케어 분야의 회사를 인수하거나 투자하는 방향으로 사업 확장해 나갈 것을 보인다 ",4,"pos"
"41",2021-12-16,"석차옥 서울대교수가 설립한    신약 설계 플랫폼 기업  갤럭스 가 카카오브레인에서   억원 투자유치  앞서 인터베스트도 투자  구글  아마존 등이    신약개발 자회사를 설립했는데  카카오는 일단 투자                                    ",3,"pos"
"42",2021-12-16,"카카오 그 새끼 이름이 뭐니  플랫폼 기업들의 좆 같은 행태  개인사업자로 돌려서 골수까지 빼 처먹는 개새끼들이 많아서리    노동조합에서 야그하는 직접고용이랑 연결되는 내용이다 ",-3,"neg"
"43",2021-12-16,"카카오    억 매도가 저소리구나  국내기업 경영진은 다 양아치인가",-3,"neg"
"44",2021-12-16,"          역시 스타쉽이 카카오엔터 산하 기업이라서 팍팍 밀어줘서 좋네요     ",1,"pos"
"45",2021-12-16,"오늘꿈에서 카카오가 글로벌거대기업이 돼서 애플도 삼켰다 전화걸기전에 카톡인증을 하고 걸어야됐다 끔찍했다",1,"pos"
"46",2021-12-16,"계속 래디쉬에 이어 카카오의 엔터테인먼트 해외 기업 인수가 늘어나고  네이버 역시 왓패드 인수 등으로 경쟁은 하는데  그 인수 경쟁이 실제 창작 생태계나 다양성 구축에 긍정적인 영향을 미칠 수 있을지는 여전히 미지수다                         ",8,"pos"
"47",2021-12-16,"카카오그룹  올해 시총    조 돌파   내년    조에 나설 기업은                         ",3,"pos"
"48",2021-12-15,"다음 타자는 누구  빅테크 일지  구글 애플 아마존       한국 기업   카카오 쿠팡 토스  법인은 한번 들어오면 영원히 갖어갈 확율이 높은거 같다                          ",2,"pos"
"49",2021-12-15,"고승범 빅테크의 독점  영업행위 규제로 감독할 것                        고승범 금융위원장 빅테크 등 대형 플랫폼의 데이터 독점대해 영업행위 규제 등 철저히 감독 금융업 진출 빅테크 기업 역시 동 네이버파이낸셜  카카오페이  토스  뱅크샐러드   금융지주  신한은행  현대카등 미국이중요",-6,"neg"
"50",2021-12-15,"진짜 네이버 시리즈 카카오 페이지 대한민국 최대 아이티 기업에서 만든 웹소설 플랫폼이라는 새끼들이 진짜 이따위로밖에 못 만드나 다들 좋은 프로그래머들 데려가서 뭐 테트리스 하고 앉았나 뭐 이따위야 진짜 장난까나 진짜 이거 만든 놈들 손톱 밑에 내가 읽은 페이지수만큼 종이로 베어버릴라",2,"pos"
"51",2021-12-15,"카카오에서도 지식그래프 정보를 탐색할 수 있는 서비스를 오픈했네요  아직은 예제만 탐색 가능함  인물  기업 조직 정보들을 예시로 제공하는데 구조는 비슷하지만 위키데이터는 아니고 카카오가 수집한 것 같아요                                                 ",2,"pos"
"52",2021-12-15," 짐작이지만 카카오엔터테인먼트 내부적으로    작가와 직접 계약하지 않는다    출판사를 통해 간접적으로 통제 가능하며 카카오엔터에 직접 문제를 제기하지 않도록 한다 이런 원칙이 있는 게 아닌가 싶음      아 네  그 대단한   기업도 하도급 구조부터 잘도 배워왔군요                          ",-7,"neg"
"53",2021-12-14,"이런 짓거리를   세기의 초대형    기업이자 국정감사에서 상생을 약속한 그룹 총수가 수장으로 있는 카카오 엔터테인먼트에서 버젓이 행하고 있는 겁니다  그것도 공모전을 가장해서요  구체적인 상금을 걸 필요도 없고  연재 기회를 보장할 필요도 없으니 회사 입장에선 그야말로 만만세겠죠",3,"pos"
"54",2021-12-14," 버터 바른 듯 미국 직행 두나무        하이브와  글로벌     플랫폼  만든다  출처   블로터   네이버 뉴스                          세금만  조 내는 스타트업  말 그대로 현재 돈을 쓸어담는 기업이다  카카오 김범수가 발굴하고 키운 송치형이 창업자 ",4,"pos"
"55",2021-12-14," 집중취재      구글  학점  네이버 카카오  학점   기업들의 탄소 성적표                        ",0,"neu"
"56",2021-12-14,"   구글    네이버 카카오  학점   기업들의 탄소 성적표 네이버 데이터센터 서버   만대 지난해    기가와트시의 전력을 사용했는데  인가족  만 천 가구의 소비량이고 온실가스  만 천 톤을 배출 카카오의 지난해 온실가스 배출량은  만 천 백 톤  년만에   배 넘게 증가                        ",-1,"neg"
"57",2021-12-14,"    뉴스에서 다룬 탄소저감 관련 리포트를 보면 왜 우리나라 기업들이 나쁜지 확연히 드러나는군    삼성이 애플보다    배 더 탄소배출 중인데 삼성도 네이버도 카카오도 의지도 노력도 없네     ",0,"neu"
"58",2021-12-14,"한화이글스를 메워야 모기업 프런트 사단장 싹갈아엎고 카카오 이글스 나쁘지않군요 마침 팀에 의장님과 동명이인이 있습니다 김범수라고",0,"neu"
"59",2021-12-14,"계속되는 경영진 지분 매각 여파  카카오페이  개인 실망 매물에 사흘째 급락                         친정부기업 현정권때 상장여럿 비상장 다양지분들 내년전에 팔아야지 싶어하는 사람들 ",-8,"neg"
"60",2021-12-13,"카카오    개미는 오늘도 뚠뚠  박진경    인터뷰 그룹 샤이니의 멤버 온유 이진기 의 투자도 기억에 남는다고 했다   온유는 녹화 이전에 한 언론 인터뷰를 보면 쉽게 사고팔고 하지 않았다  이 기업과 함께한다는 느낌으로 투자하는 스타일이었다   이어서   온유  샤이니                                                ",1,"pos"
"61",2021-12-13,"얼마 전 카카오가 네이버의 시가총액과 매출 모두 뛰어넘는 기염을 토했는데요  여전히 전문가들은 네이버의 저력을 높게 보고 있습니다  특히 신사업체 중 하나라도 제대로 터지면 상당한 기업가치 제고작업이 이뤄질 것이라고 평가합니다                         ",5,"pos"
"62",2021-12-13,"   젊은 경영진  더 이상   년대생 임원을  파격 이라고 보기 힘들 정도입니다  네이버와 카카오 같은   기업만이 아닙니다      삼성    도   년대생을 대거 임원으로 발탁했습니다  역량 있고 잠재력 갖춘 젊은 인재에게 더 빨리 사업 전체를 맡기겠다는 의지가 반영되었다고 할 수 있습니다 ",4,"pos"
"63",2021-12-13,"네  카카오톡 음란물 방지 필터 모듈이 공개되어있다구요  그러니까 이제 자동화된 음란물 방지를 하고싶은 기업은 저거 가져다 쓰고  그럼에도 음란물이 나오면  정부기관탓을 해도 된다는거죠                           ",3,"pos"
"64",2021-12-13,"지난  월에 카카오벤처스에서  억원을 투자받은 건물 에너지관리 기업 씨드앤이 팁스 선정      디바이스와 모바일앱으로 사용자가 직접 냉난방 설비 원격 제어  건설 건축 업계로 영역 확장",0,"neu"
"65",2021-12-13,"              악의 총수 거대재벌 테크기업 카카오를 참지않고 까는 정의로운 나 ",-3,"neg"
"66",2021-12-12,"국내 사용자를 텔레그램으로 몰아내는 한번도 경험하지 못한 나라  카카오 대적 기업의 장난인가     번방 방지법을  검열법  몰고 간 윤석열   고양이 짤 에 밀리는 여성인권                        ",-6,"neg"
"67",2021-12-12,"그때는 불리해질 수 있으니 카카오톡같은 대기업들은 각종 솔루션을 적용하겠지만  딱히 여기에 징벌적 손해배상이 되는 것도 아니고 한남충 판사들의 비율이 높은 이상 그마저도 시원찮은 보상이 될 가능성이 높음  막말로 한국에서 기업에게 피해 입었다고 멀티빌리언 보상 나오는 거 본 적 있음 ",2,"pos"
"68",2021-12-12,"               정작  번방에 나올법한 텔레그램같은 건 외국기업이라고 노터치고 애먼 국내 커뮤니티  카카오톡만 건드리니 더 웃기는거구요 ",1,"pos"
"69",2021-12-12,"                카카오 쓰레기 기업이 중국진출에 목숨건듯",-2,"neg"
"70",2021-12-12,"카카오가  네이버가  국내 기업이라서 그런 행정 차원까지도 독점을 해버려도 괜찮다고 생각하는 것 같은데  이 나라는 기업과 공공의 영역을 논하기 앞서 그냥  우리 아닌 것  앞에  우리 를 지키기 너무 급급했던 나라라서 ",-1,"neg"
"71",2021-12-12,"            카카오는 그냥 동네 양아치 기업이라   ",-2,"neg"
"72",2021-12-11,"           요즘 카카오보다 네이버가 더 호감기업이기때문에  ",0,"neu"
"73",2021-12-10," 번방 방지법이면 일단  번방이 잇던 텔레그램부터 조져      그래놓고 문제삼으면 아  네이버  카카오 이런얘들이 검열한건데 왜 정부한데 그러세요       그 기업들은 법만 없었어도 검열 안했을걸  왜 문정부 들어서서 이렇게 온갖 규제가 붙었을까  감성 떼법은 하나도 도움 안됨 ",-5,"neg"
"74",2021-12-10,"이거 이전부터 암암리에 하고 있었는데 카카오를 못믿는거임  이루다 때 개인정보 유출한 기업 어디  짱구 캡처짤을 음란물 판단해서 정지시켜놓고 이용자탓 한 기업 어디                         ",1,"pos"
"75",2021-12-10,"어쩐지 배송비까지 무료더라니    카카오   무서운 기업    ",-2,"neg"
"76",2021-12-10," 감염병 이 생긴 이후로 여러 정부 서비스들을 네이버나 카카오같은 민간기업들에 맞기는 경우가 많은데  그 기업들을 얼마나 신뢰하는진 몰라도 별로 좋진 않은거같아 ",1,"pos"
"77",2021-12-10,"        카카오 주식 떨어지겠네       이미 어린친구들은 카톡 안쓰고 페메씀  결국 망하는건 한국의 기업과 노동자",-2,"neg"
"78",2021-12-10,"카카오톡 저거 검찰이 아니라 관계기관이 모니터링할거고 그것도 개인대화는 포함되지 않고  오픈톡 만이라고 기사에서 봤던거 같다 어차피 전통적으로 국내기업은 제도권의 방망이질에 무력하게 순응할 수 밖에 없으니 카카오트윗계정에다가 비난리플 남기는건 때릴 놈을 잘못찾아간걸로밖에   ",-5,"neg"
"79",2021-12-10,"          저번 미르재단이나     기업굽실댄건 기억안나나   카카오가 어느정권에 굽실되면 알아서  자율규제 하게될듯",1,"pos"
"80",2021-12-10,"일련의 사건들의 근원지인 텔레그램은 외국계 기업이라는 이유로 아무런 제재도 들어가지 않았으면서  별다른 사건이 없는 적어도 내 기억 상에는  카카오톡을 제재하는 것은 핵심을 빗겨나간 것이라고 생각한다 ",-3,"neg"
"81",2021-12-09,"카카오는 좆소였던     년부터 양아치 기업이였음 싹수가 노랬는데 이딴 기업을 키워준 국민의 원죄가 크다 ",0,"neu"
"82",2021-12-09,"어데서 파나 했더니 카카오   내 의식속 카카오는 그저 프리 메신져 어플이었는데 소셜커머스 핀테크등 다 해먹는 기업이 되어있다                        ",-1,"neg"
"83",2021-12-09,"            그리고 뭐    동료평가제라는 것이 실제로 도입된 카카오의 경우 순기능보다 역기능이 더 크게 작용하여 기업이 이윤을 내는  효율 을 떨어뜨렸다는 것이 입증되었으니까요  이는 모두에게 좋지 않은 것이죠   ",2,"pos"
"84",2021-12-09,"카톡검열 관련해서 카카오에 대기업 독과점 어쩌고 욕하는 놈들이 여당찍은놈들이겠지  법이 생겨서 하라는데 뭐 씨발 기업이 총대매고 반정부시위 해줘 그런거냐",1,"pos"
"85",2021-12-09,"빅테크  헬스케어  진출에 보험사 긴장                         빅테크 기업의 헬스케어 진출이 본격화하면서 보험사와 경쟁이 심화하고 있습니다  카카오는 내년 디지털 손해보험사 출범을 앞두고 헬스케어 사업 진출을 공식화했습니다   빅테크  헬스케어",5,"pos"
"86",2021-12-08,"답은 카카오 그룹 해체다  이 새끼들 진짜 헤어샵  택시  꽃배달 같이 진짜 오만 영역에 다 기어 들어와서 초기에 덤핑으로 경쟁 상대들 싹 말려 죽인 다음 시장 독점적 지위를 악용해서 소비자 등골 뽑아먹는 개 쓰레기 됐음  미국이었으면 진작에 반독점법으로 기업 해체 당했을거임",-7,"neg"
"87",2021-12-07,"네이버나 카카오라 해도 화가 날 텐데 정부의 소통 창구를 민간 기업에 위탁한다는 점에서  나무위키라니",0,"neu"
"88",2021-12-07,"카카오뱅크 끝나니 페이 대기 기업  쪼개기 상장   왜 한국만 많나                                 ",-1,"neg"
"89",2021-12-07,"정부   넷플릭스법  가이드라인 발표 네이버 카카오 등  개 기업 적용  출처    열정크리                             블로그                         ",0,"neu"
"90",2021-12-07,"여행  쇼핑  문화생활 관련 기업들이 밀크 생태계에 지속적으로 참여하면서 카카오가 인수에 나서게 된 것으로 분석  카카오가 클레이튼 생태계를 확장해온 데 더해 최근에는 다양한 소비자 관련 서비스 플랫폼까지도 확대해나가고 있다 ",7,"pos"
"91",2021-12-07,"네이버 카카오가 회장단으로 있는 한국인터넷기업협회가   온라인 플랫폼 공정화법  제정을 반대하는 긴급토론회를 개최했다   플랫폼 입점업체 계약 규제  이용자 불편 초래  시민사회  최소한의 규제  도대체 왜 막는가   온플법                        ",-4,"neg"
"92",2021-12-06,"주식투자가 진짜 짱인 이유  내 맘대로 삼성전자 카카오 테슬라 같은 기업과 해당 기업의 허락없이 동업할 수 있어서  ",1,"pos"
"93",2021-12-06,"로봇 자동화 희망 수요 공급기업 매칭 플랫폼인  마로솔 이 프리시리즈  펀딩으로 카카오인베스트먼트와   인베스트먼트에서   억원 투자유치  향후 로봇 전용 금융서비스 출시와      개발에 박차",6,"pos"
"94",2021-12-06,"      해외주식 내년엔 이  종목 주목하라 카카오                              해외  주식  주가  투자  경제  시장  뉴스  글로벌  세계  비즈니스  기업  종목  추천                        ",2,"pos"
"95",2021-12-06,"   카카오 뷰 상단에 있는 메뉴들은 주문하기  매장관리 등 모두 기업의 홍보활동과 상거래를 염두에 둔 메뉴들입니다  또한 채널 구독자와     채팅의 경우  제가 먼저 말을 거는 건 불가능하고요  제가 능동적으로 메시지를 보내는 것은 유료입니다 ",0,"neu"
"96",2021-12-06,"   좀 써본 지금에야 드는 생각은  애초에 카카오 뷰는 기업의 마케팅 담당자를 위한 서비스였을 수도 있다는 겁니다  카카오 뷰 소개 영상에 나온 분들이 다 유명 크리에이터였던 터라 초반엔 그런 생각이 안 들었는데요 ",5,"pos"
"97",2021-12-06,"   카카오는 앞으로 더욱 성장을 가속화할 전망인데요  시장성이 충분한 상황에서 가시적 성과를 이어나가고 있으며  본사의 기업가치 제고 측면에서도 중요합니다  또 핀테크  엔터 등 기존 비즈니스와 연계할 수도 있죠  그 일환으로 요즘 활발하게    를 벌이고 있습니다 ",6,"pos"
"98",2021-12-06,"                        카카오가야심을드러내고있다 메타버스시대는 지금의인터넷과 비교할수없을정도로 사람들의 몰입이 심해지고돈의이동이빨라질것이다  차산업혁명은 개인들에게도혁명이지만 빅테크같은초국적기업에게도 완수해야할 혁명이다 도태되거나 다먹거나        메타버스기축통화는 ",0,"neu"
"99",2021-12-05,"카카오의 암호화폐 발행에 대해  선도 기업으로서 부끄러운 것 아니냐 라고 누군가에게 물었던 적이 있었는데 그 답변으로  돈 되는 걸 왜 마다하냐  라고 돌아와서 충격 깨달음을 받은 적이 있다  좀 오래전 이야기 ",1,"pos"
"100",2021-12-05,"지금까지 한국의 수많은 기업들중에서도 투자에 참여한 수많은 개인들과 직원들을 대박이라해도 좋을만큼 꽤 큰부자로 만들어준 기업은 카카오가 역시나 독보적인 듯      배 수익이 가능한 투자가 있다                         ",7,"pos"
"101",2021-12-04,"카카오가 이제는 퀵서비스를 하네요  벼룩의 간을 빼 먹네요  정말 이런 기업은 저질도 최상급 저질 기업인 것 같네요 ",3,"pos"
"102",2021-12-04,"기업 죽창부대 보니 후레자식 송영길당 카카오 협박과 그들 세상이 됐을때  문화가 어떻게 될지 뻔하다  방송사마다 중국후원 받는 드라마만 천지로 나올 것이고 기업들은 세계 특허 소송마다 패소 할 것  이재용에 대한 협박 차라리 삼성을 미국으로 옮기는게 좋지 싶어  박사모 깽판은 병아리 날개짓",-2,"neg"
"103",2021-12-04,"  개 모았다고 타란    이런거 해줄지 알았는데 그냥   개  띡  이게 끝임 약간 카카오페이마냥 알 두두두두두두깨지고  원  이거보단       안하는게 낫긴한데    아니뭐   외국계기업이라 칭찬에인색한가                        ",2,"pos"
"104",2021-12-04,"당근마켓 관심 기업에 추가                         어쩌면 정말 글로벌한 기업이 될 수도 있겠다  소트프뱅크  카카오  알토스  프라이머의      ",4,"pos"
"105",2021-12-04,"    디지털 헬스케어 서 신성장동력 찾는 카카오  왜  글로벌 디지털헬스케어 사업을 전담할 헬스케어     사내독립기업 를 설립해     이슈분석 막혀버린 엔비디아의     인수  삼성전자 득일까  경쟁당국      만장일치로 인수 제동 반도체 합종연횡 속   독점 막는다  의지",2,"pos"
"106",2021-12-03,"이거 진짜 함      일본이야 라인쓰니까 반응있을텐데 한국은 카카오쓰잖아 그보다 라인프렌즈 네이버 계열사잖아  한국기업이랑 콜라보 하는거야                          ",-2,"neg"
"107",2021-12-03,"기업이랑 카카오는 어디감  국민인가도 있지않음             빨리 내놔                        ",1,"pos"
"108",2021-12-03," 년 만에 부활한  타다  직접 타보니   카카오 지긋지긋해      다음 뉴스                         기업도 경쟁해야지  노동자만 경쟁하나 ",-4,"neg"
"109",2021-12-02," 인사이드 스토리 금융사 거느린 카카오가 미국 기업이었다면  출처   비즈니스워치   네이버 뉴스                         ",0,"neu"
"110",2021-12-02,"카카오  디지털 헬스케어 본격 진출 사내독립기업 신설                        ",2,"pos"
"111",2021-12-02,"그래 이제 카카오페이 탈퇴할 때가 왔다 기업의 독과점 막는 정책을 높으신 분들께서 만들지 못하니 나라도 안써야지                        ",1,"pos"
"112",2021-12-02," 차창작 도용에 수수료만   퍼센트 현존플랫폼 중 제일 많이 떼감  광고 배너 갑질에다 작품 신경안쓰기로 유명한 카카오가 이런 걸 하다니 정말 말만 하는 기업이구나를 다시금 깨닫고 가네용                         ",3,"pos"
"113",2021-12-02,"카카오 약간 그거같다 와치독스에 있는 블룸이라는 기업                        ",1,"pos"
"114",2021-12-02,"카카오가 정부기업도 아니고 뭐만하면 다 카카오야 뒤질래",-3,"neg"
"115",2021-12-02,"카카오  디지털 헬스케어 사업 진출 사내독립기업 설립                                                ",1,"pos"
"116",2021-12-02," 그린피스  기후위기  카카오 그린피스가   개     기업들의 기후위기 대응과 재생에너지 사용 노력을 평가했습니다  그 결과 한국 기업 중에서는   전자가     로 가장 높았습니다  또한    를 받은  곳은 모두 한국의 삼성디스플레이와 카카오였습니다                         ",0,"neu"
"117",2021-12-02,"카카오  라이브커머스 기업  그립컴퍼니 에     억 투자                                                ",0,"neu"
"118",2021-12-01,"카카오는 제발 회사나 좀 정상적으로 운영해 진짜 중국 까면 작가 작품 검열하는게 민주주의 국가에 잇는 기업에서 가당키나 하냐고 그리고 팬아트 막가져다 쓰는건 중국한테 배웟음  그러면서 저작권 소리를 하는게 기가 안차냐고                        ",-1,"neg"
"119",2021-12-01,"카카오  라이브커머스 스타트업 그립컴퍼니에     억 원 투자 경영권 확보                            가 처음부터 투자한 그립을 카카오가 약     억원 기업가치에 인수했습니다                         ",3,"pos"
"120",2021-12-01,"  월  일 오후  시부터 마이데이터 서비스 시범 운영   개 기업  개은행   개 금융투자사   개 카드사  농협중앙회 뱅크샐러드 핀크 은 개인 맞춤형 자산관리서비스 일제히 시작 네이버파이낸셜  카카오페이 다른 은행 카드사 등   개사도   월 중 순차적으로 서비스 시작                        ",2,"pos"
"121",2021-11-30,"일일드라마에서  니 까짓 게 감히 내 자리를 노려  어림도 없지 다신 기어오르지 못하게 밟아주겠어  라고 말하는 기업 총수들도 다 아들딸래미들한테 카카오이모티콘 어떻게 사는 거냐고 물어보겟지 인스타 아이디 어케 만드냐고 물어보겟지 생각하면 캐릭터가 약간 덜 미워진다",-2,"neg"
"122",2021-11-30,"카카오나 네이버는 트위터본사와 접촉하여 이들을 제지할 수 있습니다  또는 신고페이지나 계정을 쉽게 차단하는 방법을 만들어 달라고 요청하실수도 있습니다  개인 작가들보다는 기업 차원에서 할 수 있는 일들이라 생각합니다                                                                    ",3,"pos"
