,date,text,score,senti
79,2020.01.12.,갤러리아百 ‘착한 소비 설 선물’로 젊은층 공략,7,1
80,2020.01.12.,문장은 짧게말하는 것처럼글쓰기 향연이 펼쳐진다,0,0
81,2020.01.12.,매크로 키운 건 정치권인데 막는 건 기업이 하라니…,0,0
82,2020.01.12.,그립습니다한글날이 아빠 기일… 아이들도 다 기억해서 좋아,0,0
83,2020.01.12.,女 많은 與 與보다 젊은 野…與野 인재 영입 정치학,4,1
84,2020.01.12.,패트 충돌 나경원황교안 조직적 지시…검찰 공소장 보니,-1,-1
85,2020.01.12.,패스트트랙 끝 총선 올인…여의도 진짜 전쟁 돌입,-2,-1
86,2020.01.12.,잘나가는 현대렌탈케어 상호 사칭 속앓이,-2,-1
87,2020.01.12.,몸집 커졌지만…성장통 앓는 크라우드펀딩,-2,-1
88,2020.01.12.,2020 AI노믹스 산업지도AI 경제가 열렸다,0,0
89,2020.01.12.,CES 2020박정호 SK텔레콤 사장 “초협력 통해 기업 가치 극대화하자”,2,1
90,2020.01.12.,K팝 성지 꿈꾸며…아레나 속속 들어선다,-1,-1
91,2020.01.12.,인재영입 박차 이낙연 당 복귀 눈앞… 바쁘게 돌아가는 민주 총선시계,1,1
92,2020.01.12.,학교버스 어디쯤 왔을까…실시간 확인 가능해진다,0,0
93,2020.01.12.,한국서 퇴직금 떼 일 뻔한 이주노동자 ‘위안부’ 영화 만든 사연,0,0
94,2020.01.13.,신창재 회장의 양손잡이 인재論…실무능력디지털 역량 겸비해야,2,1
95,2020.01.13.,루이비통이 카카오를 콜했다모빌리티 법인시장 후끈,1,1
96,2020.01.13.,규제개혁 직접 하겠다 벤처업계 23일 창당 선언,-4,-1
97,2020.01.13.,고국 음식 먹으며 향수 달래고 수련회로 영성 키우고,0,0
98,2020.01.13.,창업 뛰어든 청춘 빗자루로 30억 쓸었다,0,0
99,2020.01.13.,본격 콘텐츠 전쟁새해 OTT 춘추전국시대,1,1
100,2020.01.13.,신천지의 포교 수법 교회 들어오는 신천지 추수꾼 어떻게 분별할까,0,0
101,2020.01.13.,MaaS 걸음마 뗀 한국 정부 지원규제 완화 관건,-3,-1
102,2020.01.13.,쥐 잡아야 지갑 열린다,0,0
103,2020.01.13.,두번째 구속 갈림길 승리 2시간30분 만에 심문 종료…침묵종합,-2,-1
104,2020.01.13.,등급제→점수제 꼼꼼해진 대출심사 대처 방법은,-1,-1
105,2020.01.13.,박정호 SKT사장 “국내 ICT 기업 삼성카카오와 협력해야”,1,1
106,2020.01.13.,사칙연산으로 풀어본 2020년 기업 경영 전망,0,0
107,2020.01.14.,‘항명’ 이유로 윤석열 징계 가능한가 뉴스,-1,-1
108,2020.01.14.,새 출발 2020 금융 카카오삼성화재 합작법인 연내 출범…인슈어테크 경쟁 한층 달아오를 듯,-1,-1
109,2020.01.14.,우리카드 쇼핑영역 아우르는 최고의 혜택,4,1
110,2020.01.14.,테드 강연식 새해 인사…광진 올해 더 通한다,0,0
111,2020.01.14.,시그널 녹십자홀딩스 한화운용 꺾고 유비케어 품는다,0,0
112,2020.01.14.,새해 토스네이버카카오 3파전…IT發 금융 대격돌,0,0
113,2020.01.14.,조 전 장관 아들 로스쿨 위해 최강욱 명의 허위 인턴증명서 발급,-2,-1
114,2020.01.14.,카카오톡 새해부터 먹통 트래픽 폭증… 2시간 장애,-4,-1
115,2020.01.14.,‘특허 횡포’ 퀄컴 혼낸 공정위… 그 뒤엔 3인의 집단지성,-2,-1
116,2020.01.14.,토요워치밀레니얼 세대의 미래 엿보기占톡占com,1,1
117,2020.01.14.,그립습니다소박한 서정시 남기고… 문학청년 장래 걱정해 주셨던 선생님,-6,-1
118,2020.01.14.,너도나도 플렉스 명품 찾는 10대들,0,0
119,2020.01.14.,마켓인사이트 1위 EMR社 유비케어 GC녹십자시냅틱에 팔린다,0,0
120,2020.01.14.,설 선물 사러 나갈 필요 없네,-1,-1
121,2020.01.14.,대중화 단계 진입한 블록체인암호화폐특금법 시작으로 제도화 법안 뒷받침돼야 블록포스트 신년 좌담회,0,0
122,2020.01.14.,9억 주택 줄어든 대출 한도 신용대출로 메운다,-2,-1
123,2020.01.14.,사설인재영입 쇼는 안 된다,1,1
124,2020.01.14.,대한항공 3400억 규모 영구채 발행 착수마켓워치,-1,-1
125,2020.01.14.,IT 카카오톡유튜브네이버…앱사용자 부동의 123위,0,0
126,2020.01.15.,수수료 안받아요…동네 편의점 ATMCD 3만개 시대,-1,-1
127,2020.01.15.,책마을 요리하는 인간에게 필요한 7가지 식재료,1,1
128,2020.01.15.,인천공항공사함께일하는재단 일반인에게 사회공헌 해외연수 기회 제공,3,1
129,2020.01.15.,게임 새해 서브컬처 신작 줄줄이…게임 마니아 저격할까,-1,-1
130,2020.01.15.,카뱅케뱅 지배구조 불확실성 확대,0,0
131,2020.01.15.,뽑혀야 산다…래플 쇼핑이 뜬다,1,1
132,2020.01.15.,매경 CEO특강 김문수 스마투스 대표  한양대서 강연,0,0
133,2020.01.15.,CES 2020 박정호 “AI 국내기업간 초협력 절실”,0,0
134,2020.01.15.,설 선물 널 위해 준비했쥐…꿀잠 베개혼술 안주신의 물방울,1,1
135,2020.01.15.,AI 주치의가 맥짚고개인 병력따라 보험 추천 빅데이터가 세상을 바꾼다,1,1
136,2020.01.16.,떴다 기자평가단 다이어트하면서 단맛이 당긴다면…저칼로리 아이스크림,-1,-1
137,2020.01.16.,민주당 ‘7호 영입인재’ 이용우 카카오뱅크 대표 누구,1,1
138,2020.01.16.,與 영입 7호는 카카오뱅크 이용우 공동대표,0,0
139,2020.01.16.,단돈 1만원에 인생이 털렸다…해킹범죄 공포 확산,-7,-1
140,2020.01.16.,징계 법령 파악해보라는 秋… 檢 내부선 “보여주기식 경고”,-2,-1
141,2020.01.16.,학벌의 탄생 대치동 리포트 ‘○○大 출신’ 말고 ‘뭘 할 수 있나’ 묻는 사회로,0,0
142,2020.01.16.,CES 2020 박정호 GAFA도 뭉치는데…삼성 등 AI기업과 초협력 하겠다,1,1
143,2020.01.16.,추미애 “징계법령 찾아라” 지시… 윤석열 총장 감찰 돌입하나,0,0
144,2020.01.16.,유통 단신스타벅스 BTS와 협업 ‘청년 응원 캠페인’ 진행 外,3,1
145,2020.01.16.,스타PD들 유튜브처럼 짧은 영상 제작… TV도 ‘숏폼’ 전쟁,0,0
146,2020.01.16.,놀이학습템 재미 ‘쏠쏠’… 설 연휴 귀경귀성길 따분함 ‘훌훌’,2,1
147,2020.01.16.,檢 조국정경심 카톡 공개…사모펀드 운용 논의했다,-1,-1
148,2020.01.16.,이슈분석줄이고 없애고 바꾸고선거 앞둔 포털 실급검댓글 전면 개편,0,0
149,2020.01.16.,한입뉴스 초콜릿 분수가 핑크색딸기뷔페와도 딱이네,0,0
150,2020.01.16.,골퍼 고진영 세계 1위 저희 옷 덕좀 봤겠죠,0,0
151,2020.01.16.,코스피 예상 배당성향 273월 주총서 상향압력 커질듯,1,1
152,2020.01.16.,특허업무에 카카오 AI 기술 활용,0,0
153,2020.01.17.,네이버 매출 6조 첫 돌파…올해 신사업 본격 수익화종합,8,1
154,2020.01.17.,모바일 신분증으로 인증결제 한방에,1,1
155,2020.01.17.,이번엔 장차관 출신 20명 총선에… 핵심관료 빼내 국정 공백 우려,0,0
156,2020.01.17.,보험사 ‘IT기업핀테크’ 경쟁…‘디지털 혁신’ 위기이자 기회,-1,-1
157,2020.01.17.,금융사vs테크핀 데이터 개방 범위 주도권 다툼,-1,-1
158,2020.01.17.,아이유 신생 ‘이담엔터’에서 새출발12년지기 매니저와 의리 지켰다,1,1
159,2020.01.17.,S머니데이터3법1100만 주부학생 660만 자영업자 신용등급 올라간다,1,1
160,2020.01.18.,ATM 현금수수료 10년만에 오른다,-2,-1
161,2020.01.18.,현정택의 세상보기 세뱃돈과 인터넷,0,0
162,2020.01.19.,단독檢 ‘버닝썬’ 승리 구속영장 청구,3,1
163,2020.01.19.,현장에서 세계는 모빌리티전쟁 중…한국만 역행,0,0
164,2020.01.19.,낡은 건물들 사이로 힙한 카페반세기 시공간 뛰어넘은 서울의 브루클린,-1,-1
165,2020.01.19.,주력 제조업 부침…요동치는 대기업 순위,0,0
166,2020.01.19.,빅데이터플랫폼 쥔 샤오미 AIIoT 일상을 장악하다,0,0
167,2020.01.19.,LGU 초등생 맞춤 카카오리틀프렌즈폰3 출시,3,1
168,2020.01.19.,새 출발 2020 보험 삼성화재 참신한 보험상품 개발디지털 신기술 혁신 지속,3,1
169,2020.01.19.,윈도7 교체수요 공략 기회 노리는 토종OS,2,1
170,2020.01.20.,카뱅 지배구조 다음달 윤곽… 단독대표체제 가능성,3,1
171,2020.01.20.,누나가 움직인다 反조원태 연합군 결성하려…,1,1
172,2020.01.20.,신창재 회장 디지털 전환은 선택 아닌 필수상보,2,1
173,2020.01.20.,타다 피해 주장한 택시 작년 매출 사상최고,1,1
174,2020.01.20.,정치권 ‘영입人材 과대포장’ 잇단 구설,0,0
175,2020.01.20.,與 인재영입 7호 카뱅 대표 이용우…스톡옵션 수십억 포기,-1,-1
176,2020.01.20.,작년 MA 상장사 128개…전년比 208↑,0,0
177,2020.01.20.,논란의 골드워터 룰 엄벌 아쉽다이진한의 메디컬 리포트,-3,-1
178,2020.01.20.,민주 총선 채비 본격화…靑출신 인재에 전략공천 논란은 불씨,-1,-1
179,2020.01.20.,“‘학출’ 언니가 준 금서 한 권”…어린 시다의 삶을 바꿨다,-1,-1
180,2020.01.20.,카카오가 온다 증권사들 긴장감,-1,-1
181,2020.01.20.,롯데홈쇼핑 “파트너사와 상생 위해 3년간 2137억투자”,2,1
182,2020.01.20.,모바일 상품권 인지세 직격탄…발행 80 줄였다,-1,-1
183,2020.01.20.,‘운수창고업’이 AI사물인터넷모바일 ‘3관왕’ 한 까닭은,1,1
184,2020.01.20.,반도체 쏠림→골고루 주연으로,0,0
185,2020.01.20.,요놈 없인 못 살아…어르신 스마트폰에 빠지셨네요,-1,-1
186,2020.01.21.,현금입출금기 설치 수 1위는 은행 아닌 편의점,-2,-1
187,2020.01.21.,민주당 하위 20 ‘살생부’ 놓고 시끌,0,0
188,2020.01.21.,‘큰손’ 연기금 연초 수익률도 ‘짭짤’,2,1
189,2020.01.21.,네이버 인플루언서 카카오 샵탭 키운다,1,1
190,2020.01.21.,“콘텐츠 비즈니스 강화”… 전문가 모시기 바쁜 IT기업들,3,1
191,2020.01.21.,MAGIC펭수 트렌드를 이끌다,1,1
192,2020.01.22.,이마트 카카오장보기 3년만 종료모바일 접점 축소,-2,-1
193,2020.01.22.,꼰대 계급장 떼고 소통의 공간 속으로,0,0
194,2020.01.22.,통신 타다씽씽도 이젠 月 구독 이용하세요,0,0
195,2020.01.22.,메기 몰려오자 … 증권가 언택트 마케팅 불붙었다,2,1
196,2020.01.22.,20대용 5G 데이터무제한 KT Y슈퍼플랜 요금제,1,1
197,2020.01.22.,삼성 보험중개 상표권 출원인슈어테크 플랫폼 기대감↑,0,0
198,2020.01.22.,셀트리온 합병 성사땐 시총 32조…코스피 3위로 껑충,2,1
199,2020.01.22.,승리 구속영장 또 기각,2,1
200,2020.01.22.,생일엔 케이크ㆍ아프면 비타민…일상 파고든 모바일 선물,0,0
201,2020.01.22.,채혈하지 않아도… 복부에 부착하면 당 수치 측정 가능,1,1
202,2020.01.23.,이슈분석입법 엘리트가 주도한 매크로 금지법 “시민이 가장 큰 피해자”,-1,-1
203,2020.01.23.,카뱅신화 이용우 50억대 스톡옵션 포기하고 민주당行,-1,-1
204,2020.01.23.,카카오 너 어디까지 가니 은행 찍고 증권보험 진출,0,0
205,2020.01.23.,키보드 윗부분에 터치스크린 장착멀티태스킹 최적화된 괴물 노트북 김성환의 IT템 리뷰,0,0
206,2020.01.23.,S머니 가입자 800만오픈뱅킹 1라운드 핀테크가 웃었다,0,0
207,2020.01.23.,와그트래블 “위치일정별 액티비티 AI가 추천”,1,1
208,2020.01.23.,게임사들이 준비한 세뱃돈 받아가세요,1,1
209,2020.01.23.,대전시 지능형 재난 대응시스템 구축 추진,0,0
210,2020.01.23.,설 연휴 공공주차장 1만8000곳 무료개방,0,0
211,2020.01.23.,“종로ㆍ광진ㆍ동작 빅3 잡아라” 민주당 트라이앵글 필승 작전,1,1
212,2020.01.23.,오그래놀라 색다르게 즐기자…오리온 브런치 카페 오픈,2,1
213,2020.01.23.,오스템임플란트 치과용 전자차트 ‘원클릭’ 출시,1,1
214,2020.01.24.,IT업체 첫 증권업 진출 카카오톡으로 주식 거래한다,2,1
215,2020.01.27.,두나무 암호화폐 지갑 서비스 종료,-1,-1
216,2020.01.27.,CES 간 라이언어피치 미키마우스와 맞짱 뜬다,0,0
217,2020.01.27.,핸들 인생 37년… “택시 밖 세상 너무 변해 두렵다”,-3,-1
218,2020.01.27.,간편결제에 후불결제 도입 검토한다는데…소비자 편의 높아질 것 vs 리스크 관리 우려,1,1
219,2020.01.27.,신한은행서 국민은행 통장 업무… 오픈뱅킹 점포로 확대 추진,4,1
220,2020.01.27.,교보라이프플래닛생명 年 400만원 한도 연말정산 혜택…3개월 넘으면 해지환급률 955,1,1
221,2020.01.28.,SNS 이용률 8년만에 첫 감소… 페북카카오스토리인스타 順,-1,-1
222,2020.01.28.,인공지능 컨트롤타워 국내 첫 가동… “항공 운항 더 안전하게” 연중기획  창의혁신 현장을 가다,2,1
223,2020.01.28.,신SW상품대상추천작포뎁스 모비 포스트,3,1
224,2020.01.28.,우한 르포 텅빈 마트막힌 도로…갇힌 유학생들 “라면만 먹어”,-2,-1
225,2020.01.28.,정경심 사모펀드 투자 전 남편한테 물어보고 할게 문자,1,1
226,2020.01.28.,혈압약 드실 시간입니다모노라마 메디스캔 카톡으로 알려주네,0,0
227,2020.01.28.,새해 인사 보내려는데 먹통…카톡 2시간 서비스 장애,-4,-1
228,2020.01.28.,그립습니다삯바느질로 사남매 키운 어머니… 평생 아버지 그리며 사셨죠,-1,-1
229,2020.01.28.,조현아 ‘파워’ vs 조원태 ‘결속력’…우군 모으기 경쟁,-1,-1
230,2020.01.28.,그립습니다늘 학문에 관심 많으셨던 아버지… 저희에겐 나침반입니다,0,0
231,2020.01.29.,삼성SDS 블록체인 기반 실손 보험금 간편청구 서비스 시작,1,1
232,2020.01.29.,기자수첩신종코로나에 에어비앤비 방빼는 손님들,-1,-1
233,2020.01.29.,인터넷통신바이오업종은 바이러스 청정지역,-1,-1
234,2020.01.29.,알림톡으로 실손보험 간편 청구 삼성SDS 블록체인 기반 서비스,0,0
235,2020.01.29.,이슈분석매크로 금지법 논란 가열,-2,-1
236,2020.01.29.,갤럭시 S20에 퀵셰어 적용 안드로이드판 에어드롭 나오나,0,0
237,2020.01.29.,제살 깎아 버티는 카드사…이대로면 10년뒤 좀비,0,0
238,2020.01.29.,“中 남성 쓰러져” “인천서 사망자”… 가짜뉴스 확산,-6,-1
239,2020.01.29.,전세계 덮친 우한폐렴 쇼크…코스피도 3 급락,-7,-1
240,2020.01.29.,게임 팡팡 터지는 게임 선물이벤트…게이머들 설맞이 기쁨 두배,2,1
241,2020.01.29.,디지털 별동대 보험사 키우는 손보업계‥하나금융도 뛰어든다,1,1
242,2020.01.29.,손 닿는 명함 대신 피켓 대화 대신 눈인사… 예비후보들 無접촉 선거운동 나설판,0,0
243,2020.01.29.,우한 폐렴 가짜뉴스… 文 엄정 대응 지시,-8,-1
244,2020.01.29.,우한폐렴 공포에도…외국인 IT株는 샀다,-7,-1
245,2020.01.29.,익스텔리전스 시대… 학생들 사회문제로 뛰어들라,-1,-1
246,2020.01.29.,촌철댓글 마늘이 보통 중국산 외,0,0
247,2020.01.29.,갤럭시 S20에 퀵셰어 적용 안드로이드판 에어드롭 나오나,0,0
248,2020.01.29.,“18개월간 6500만명 죽는다” 괴담 통로된 유튜브,0,0
249,2020.01.29.,株머니 매니저의 HOT종목,0,0
250,2020.01.30.,단순 투자사에서 파트너로… 기업 성장 전폭 지원하는 VC,4,1
251,2020.01.30.,김지현의 IT세상딥페이크 AI가 불러올 혼란과 기대,0,0
252,2020.01.30.,50억弗 韓 모바일 콘텐츠 시장 3년 만에 두 배 커졌다,-1,-1
253,2020.01.30.,베트남 외국계 최고 은행 찍고핀테크스타트업에 금융한류 심는다,2,1
254,2020.01.30.,삼성SDS 블록체인 기반 ‘실손 보험금 간편청구 서비스’ 개시,1,1
255,2020.01.30.,열린마당 자녀 이름 도용한 카카오톡 피싱 사기 주의해야,-2,-1
256,2020.01.30.,삼성SDS 실손 보험금 간편청구 서비스,0,0
257,2020.01.30.,팀장시각 우한 폐렴이 불러온 총선 관람 포인트 세 가지,-4,-1
258,2020.01.30.,소액주주 60만명삼성전자 주총서 목소리 높일듯,0,0
259,2020.01.30.,공급자 중심 은행원 마인드 소비자 지향으로 바뀌어야,1,1
260,2020.01.30.,1000만 대군 카카오 진출…증권가 태풍 될까,1,1
261,2020.01.30.,警 ‘우한 폐렴’ 가짜뉴스 엄벌… 중간유포자도 잡는다,-7,-1
262,2020.01.30.,카카오맵서 신종 코로나 검색땐 인근 정부지정 진료소 알려준다,0,0
263,2020.01.30.,네이버카카오 거침없이 하이킥…연매출 6兆3兆 첫 돌파,7,1
264,2020.01.30.,창업 7전8기… 150만명 자산 관리하는 사나이,0,0
265,2020.01.30.,우한 폐렴환자 이송 중… SNS유튜브 타고 가짜뉴스 기승 우한폐렴 비상,-15,-1
266,2020.01.30.,마늘 42쪽 끓여 1주일 마시면 예방 판치는 사이비 민간요법,1,1
267,2020.01.30.,카카오 증권업 진출 승인,3,1
268,2020.01.30.,단독국민연금 무더기 감사교체 나서나…3곳 중 1곳 대상,5,1
269,2020.01.31.,시몬스 침대 살때 카카오페이도 OK,0,0
270,2020.01.31.,페르소나 비즈봇 中企 맞춤 정부 정책 실시간 톡,1,1
271,2020.01.31.,토요워치 미디어에 빼앗긴 ‘미각’,0,0
272,2020.01.31.,재미와 재테크 동시에… 밀레니얼 세대 잡는다,2,1
273,2020.01.31.,매일 수십명 만나는데 불안에 떠는 도로위 기사들,-3,-1
274,2020.01.31.,이슈분석매크로 금지법 논란 가열,-2,-1
275,2020.01.31.,KEB하나은행 영업점 오지 마세요…달러유로 등 12종 통화 스마트폰 환전,-2,-1
276,2020.01.31.,페르소나 비즈봇 中企 맞춤 정부 정책 실시간 톡,1,1
277,2020.01.31.,DLF 중징계우리하나 향후 수순은…소송카드 만지작,-2,-1
278,2020.01.31.,트렌드 미팅 길어져 점심시간 놓친 당신…커피향 가득 샌드위치타임 어때요,1,1
279,2020.01.31.,이사람 경제연구원 다니다 국회의원 보좌관 생활이제 실물경제 전문가로 복귀한 이용우,1,1
280,2020.01.31.,삼성SK “휴”…구글세 대상서 반도체 제외,1,1
281,2020.01.31.,재미와 재테크 동시에… 밀레니얼 세대 잡는다,2,1
282,2020.01.31.,제2의 주진모 막아라 보안에 사활 건 IT 기업들,0,0
283,2020.01.31.,이 와중에 유튜브선 “코로나 테마주로 인생역전”…박쥐 먹방까지,-2,-1
284,2020.01.31.,우한 시내 거주노약자들 먼저 입국…2주간 외출면회 금지,-2,-1
285,2020.02.01.,카뱅 청년 전월세보증금 대출 출시,2,1
286,2020.02.02.,조원태 손잡은 이명희한진家 vs 조현아 구도 한진家 경영권 분쟁 새 국면,-1,-1
287,2020.02.02.,오늘의 증시 일정 2월 14일,0,0
288,2020.02.02.,코로나에 온라인쇼핑 ‘쑥’… 전자결제株도 ‘쑥쑥’,-1,-1
289,2020.02.02.,그립습니다하늘나라로 떠난 사회친구… 넌 내 인생서 지워지지 않는 사람,-1,-1
290,2020.02.02.,SK텔레콤 어린이 전용 잼ZEM폰 출시,2,1
291,2020.02.02.,취업 단신 서울시 1회 공무원 시험 268 대 1 등,0,0
292,2020.02.02.,月 최대 5만원 캐시백 혜택… 카뱅 체크카드 프로모션 개시,6,1
293,2020.02.02.,그립습니다가족들 마음 아파 할까 간암 진통제 홀로 맞던 장인어른,-5,-1
294,2020.02.03.,‘남매의 난’ 한진그룹… 조원태 경영권 방어할 수 있을까,-1,-1
295,2020.02.03.,카카오프렌즈 글로벌 시장 공략 본격화,0,0
296,2020.02.03.,카톡으로 주식 매매… 카카오페이증권 출범,1,1
297,2020.02.03.,대출 손놓고 개점휴업… 1호 인터넷은행 ‘케이뱅크의 위기’,-2,-1
298,2020.02.03.,현대카드 글로벌 무대 뛸 될성부른 스타트업 육성,1,1
299,2020.02.03.,저금리 시대인데… 500만원 이하 소액대출 금리 ‘나홀로 역주행’,-2,-1
300,2020.02.03.,카카오의 힘… 매출 3조영업익 2000억 돌파,8,1
