"","...1","제목","날짜"
"182",984,"고액자산가 64% “올 서머랠리 기대”","0"
"183",110,"추석 전통놀이에 빠져볼까… 카카오메이커스, 6종 선봬","0"
"184",160,"""카톡서 나만의 공간 만들어요""… `카카오 뷰` 출격","0"
"185",200,"가족 건강보험 정보 제공땐 카카오페이, 국민지원금 계산","0"
"186",292,"예금·대출금리 줄줄이 오른다","0"
"187",312,"“추석 전 대출절벽 온다”… 신용·마통 6.2배 급증 ‘패닉 대출’","0"
"188",328,"당근마켓 간편결제·송금 '당근페이' 이르면 내달 출격","0"
"189",636,"SK그룹 마지막 공채 실시…30일부터 서류접수 시작","0"
"190",768,"[동해]동해시 카톡 지방세 환급신청 서비스 시작","0"
"191",906,"국민지원금, 카카오페이서 조회하세요","0"
"192",244,"네이버·카카오 규제쇼크에 시총 12조 증발…알리바바 꼴 나나","0"
"193",786,"카뱅, 고신용자 신용대출 연봉 수준으로 축소…한도는 5천만원","0"
"194",2,"카카오페이, 전세대출 중개서비스 출시…우리은행과 협력","0"
"195",28,"카카오페이 일반 청약 최종 경쟁률 29.6 대 1","0"
"196",44,"“카카오페이 하나로 모든 금융 서비스”","0"
"197",82,"카카오페이포인트 적립에 특화된 PLCC 삼성카드 '카카오페이신용카드'","0"
"198",112,"카카오페이포인트 적립에 특화된 PLCC 삼성카드 '카카오페이신용카드'","0"
"199",402,"[낱말 맞히기 ]<141회>","0"
"200",696,"'삼성청년SW아카데미' 7기, 최대 규모 1150명 모집","0"
"201",726,"2차 접종 간격 최대한 줄인다면?[과학이 궁금해]","0"
"202",898,"김범수 “시장 지배력 커져도 수수료 인상 않겠다”","0"
"203",188,"카카오페이 성공적 증시 데뷔… 첫날 시총 코스피 14위 올라","0"
"204",236,"카카오그룹株, 엇갈린 시총 희비","0"
"205",500,"금감원장 ""예금·대출금리차 너무 크다""","0"
"206",510,"내달 1~10일 인권문화행사… 서대문구, 다양한 포럼·특강","0"
"207",658,"꿈틀대던 대형주에 찬물···바이오 등 코로나 수혜주 '홀로 급등'","0"
"208",682,"NFT에 中 판호 발급 기대…게임주, 일제히 '고공비행'","0"
"209",764,"케이뱅크, 출범 4년만에 연간 흑자 청신호","0"
"210",788,"허인 ""이제는 세계시장 바라볼 때""","0"
"211",796,"사업비 5조...국내 최대 복합단지 '판교 알파돔' 15년 만에 준공","0"
"212",830,"캐피탈 덕에...지방지주 ‘화려한 부활’","0"
"213",848,"요즘 대세는 스타트업 간 M&A","0"
"214",908,"연세대, 챗봇 '콜로크만'으로 결핵 정보 제공한다","0"
"215",16,"카카오 ‘문어발 확장’…상생 요구 빗발 [키워드로 보는 2021 산업 ④]","0"
"216",42,"40대 이용자가 47%... '카카오골프예약', 예약건수 전년보다 2배 증가","0"
"217",70,"카카오 렌터카 나온다","0"
"218",168,"은행도 네이버·카카오처럼…""부동산·쇼핑 자회사 인수 허용해야""","0"
"219",186,"카카오 호재탄 싸이클럽·바이오패스포트 ‘훨훨’","0"
"220",264,"5G 추가 데이터 최대속도 표시 안한 SKT","0"
"221",274,"""내년 1월에 대출 바짝 땡기자""…은행 내년초 가계대출 본격 재개","0"
"222",282,"올해 '786% 폭등'…주식부자 15위까지 오른 게임 창업주","0"
"223",764,"""케이뱅크 내년말 상장 검토…확 달라진 KT 알릴 것""","0"
"224",860,"12거래일 만에 삼천피 회복","0"
"225",894,"서울시민 누구나 자가건강관리 쉽게... 비대면 스마트 헬스케어 시스템 구축[인터뷰]","0"
"226",910,"용산구, 17일부터 생활 정보·구정 소식 문자 알림 서비스","0"
"227",84,"NFT 판 키우는 카카오-네이버… 다음 주자는 크래프톤","0"
"228",164,"카카오, 미래이니셔티브센터 임원인사","0"
"229",168,"카카오, 24시간 라이브방송 한다","0"
"230",270,"“서울페이플러스 앱으로 결제받다 손님과 싸울 판”","0"
"231",604,"“국민연금 현산 주주권 행사… 사고 재발 방지책 마련해야”","0"
"232",606,"[단독]현대제철 양재동 떠난다...철강사 최초 'IT성지' 판교行","0"
"233",740,"불붙은 `키즈폰` 경쟁… 비대면 교육 콘텐츠로 승부","0"
"234",878,"OTT 히트작이 열었다, 드라마·예능 ‘시즌제 시대’","0"
"235",894,"3년내 700조 시장… IT·통신업계 ‘스마트 병원’ 질주","0"
"236",908,"“관행 갈아엎어야 빅테크 이긴다” 금융지주 회장들 한목소리","0"
"237",90,"카카오 QR체크인·지도 등 1시간 먹통","0"
"238",140,"카카오 QR체크인·지도 등 1시간 먹통","0"
"239",186,"‘오딘 흥행성공’ 카카오게임즈, 年매출 1조시대","0"
"240",208,"인터넷銀 3사, 중저신용자 대출 늘렸지만 목표엔 미달","0"
"241",258,"안철수 고개 젓게 한 윤석열의 답‘ 디지털 데이터 경제’가 뭐기에…","0"
"242",278,"자체 CSS 활용 중금리대출 늘린 인터넷은행","0"
"243",282,"공수처, 기자 4명에 통신영장 7번 청구","0"
"244",338,"상장때마다 MTS 먹통… 분통터지는 투자자","0"
"245",356,"면역저하자 130만명 4차 접종 시작…요양병원 입소자는 3월부터","0"
"246",506,"삼성전자, 53년만에 첫 파업 가능성... '노조 리스크' 못 피한다","0"
"247",518,"국내 게임사들 줄줄이 실적 급락… NFT 등 신사업도 ‘험로’","0"
"248",526,"[단독]사이버안보법, 靑 관계부처회의서 국정원 빼고 모두 반대","0"
"249",540,"삼성증권 `온라인 주총장` 핫 하네","0"
"250",566,"""기술이 자산""…인뱅3사, 직원 36%가 IT회사 출신","0"
"251",590,"IPO 열풍에 1월 외국인 2조 순매수","0"
"252",618,"""자영업자 숨통 트이나""…토스 최저 연3%대 1억 대출 나온다","0"
"253",750,"부산시, 공공 호출 플랫폼 ‘동백택시’ 점유율 높이기 나섰다","0"
"254",856,"비즈니스온, M&A로 ‘무한확장’","0"
"255",902,"4분기 IR북에 숨겨진 투자 힌트, 혹시 찾으셨나요","0"
"256",308,"신한금융, 자사주 매입·분기배당으로 주주가치 UP(상보)","0"
"257",640,"삼성전자·현대차 ‘러 손절’ 딜레마","0"
"258",654,"[빅데이터로 본 재테크] 그래도 믿을건 우량주…개미들 삼성전자 반등에 베팅했다","0"
"259",796,"140조원 규모로 클 ‘디지털 쌍둥이’에 꽂힌 기업들","0"
"260",802,"동학개미 1000만 시대, 삼전 주주 561만명 … 주식 열풍 1위 동네는?","0"
"261",936,"[플랫폼유통 칼럼]'물적분할=사회악' 프레임","0"
"262",118,"카카오페이, 롯데면세점 제휴 글로벌사업 재시동","0"
"263",120,"카카오페이, 롯데면세점 손잡고 글로벌 확장","0"
"264",254,"[박재현의 한발 멀리서] 구중궁궐에서 빨리 나와야 할 사람들","0"
"265",422,"MZ소비ETF, 의류株 담고 성장주 줄였다","0"
"266",148,"[카카오엔터 출범] `원천 IP + 콘텐츠 제작` 능력 확보… `혁신 DNA`로 글로벌 공략 시동","0"
"267",58,"카카오 시총 1년새 4배 급팽창...11조 차이로 네이버 맹추격","0"
"268",20,"카카오 후불교통카드, 4분기에 나온다","0"
"269",484,"[단독]24억 환불 시작한 싸이월드, 주주현황은 비공개","0"
"270",582,"“백신 맞아요? 그럼 쉬세요” 유급휴가 도입하는 기업들","0"
"271",704,"[부음] 이정순씨 별세 외","0"
"272",214,"네이버·카카오의 뒤통수치기","0"
"273",490,"라이나생명 모회사도 가세··· 디지털 손보시장 판 커진다","0"
"274",608,"웹케시, 충북대병원에 `인하우스뱅크` 구축 완료","0"
"275",706,"BC ‘텃밭’ 카드결제 프로세싱, 국민도 뛰어들었다","0"
"276",514,"코로나 속 두번째 여름휴가…""'가·성·비' 꼭 지키세요""","0"
"277",644,"""고객님, 상품 직접 팔아주세요""…소비자에 맡기는 마케팅 뜬다","0"
"278",28,"카카오 7개 공동체 신입 개발자 채용","0"
"279",210,"카카오뱅크·서금원, 서민금융지원 MOU","0"
"280",718,"직장인 1100명, 우리사주 '10억대 잭팟'","0"
"281",140,"롯데카드-카카오엔터, 특화카드 출시 MOU","0"
"282",562,"오늘도 ‘방구석’ 등교…시간 여유 생겼지만, ‘미래’는 모니터에 갇혀 [오늘도 ‘방구석’ 등교(상)]","0"
"283",684,"금융위 “금소법 위반 금융플랫폼 25일 서비스 중단”","0"
"284",836,"금리 인상·지수 하락에도 빚투 최대…개인 투심 “살아있네”","0"
"285",66,"플랫폼 규제 뚫고… 3분기 ‘최대 실적’ 찍는 네이버·카카오","0"
"286",166,"토스뱅크 파격 행보에…카카오뱅크, 시총 2.6조원 증발","0"
"287",388,"카뱅, 일반 전세대출 22일부터 재개한다","0"
"288",472,"“규제 전에 '한국형 강소 플랫폼' 어떻게 키울지 전략부터 마련해야”","0"
"289",704,"입출금 통장 속 파킹통장, 한도·금리 제일 좋은 은행 어디?","0"
"290",2,"카카오워크 누적가입자 100만명 돌파","0"
"291",78,"53조원 '카카오 핀테크 형제'…금융 빅4와 어깨 나란히","0"
"292",122,"카카오모빌리티, 삼성전자 넘어 한국 1위 고용사업자 되나","0"
"293",140,"카카오뱅크, 중저신용자 직장인 사잇돌대출 재개","0"
"294",740,"""빅테크-중소 핀테크 달라"" '차등 규제' 언급한 고승범","0"
"295",746,"[HOT 피플]에스파, K팝의 '넥스트 레벨'로 안내하다","0"
"296",852,"미국발 냉기류…코스피 13개월 만에 2800선 붕괴","0"
"297",158,"남궁훈 카카오 대표의 배수진 ""주가 15만원 될때까지 최저임금만 받겠다""","0"
"298",620,"쓸곳 적고 쓸땐 번거롭고…빛바랜 은행 新서비스","0"
"299",32,"카카오 T 택시, 승객 대상 광고 도입한다...""가맹사와 수익 공유""","0"
"300",228,"‘모니모’로 뭉친 삼성 금융연합군, 온라인 돌격 앞으로","0"
"301",322,"""고객 위한 미래""…구광모의 뉴LG, 블록체인·의료기기 신사업 시동","0"
"302",886,"대선 끝까지 ‘대장동 녹취 폭로전’","0"
"303",404,"코스피 상장 SK바이오사이언스 '따상' 성공할까","0"
"304",416,"나누고 떠나는 아름다운 마지막… ‘유산기부’ 법 제정 절실","0"
"305",214,"[커버스토리] ""카카오택시 잡아라""…택시호출 플랫폼 시장 '진검승부'","0"
"306",478,"구광모의 통큰 베팅…LG '초거대 AI' 개발에 1억달러 투자","0"
"307",678,"슬픔이 극에 달하면 심장에 탈 난다","0"
"308",488,"새 강자 ‘신세계’ 입성한 이커머스… ‘빅3’ 전면전 불보듯","0"
"309",60,"네이버·카카오 10월 이후에도 구글결제 회피...구글도 제재 안 할 듯","0"
"310",936,"번개배송 대작전, 주유소를 기지로 활용하라","0"
"311",90,"카카오엔터프라이즈, 아모레퍼시픽에 AI 챗봇 서비스 제공","0"
"312",126,"마지막 兆단위 대어…카카오페이 일반청약","0"
"313",800,"의사·변호사, 신용대출 6,800만원 더 받았네","0"
"314",850,"서울시, 플랫폼택시 개선 TF 만든다...첫 현장조사 병행","0"
"315",428,"전기차만 인기? 전기자전거는 더 인기… BMW·할리 데이비슨도 만든다","0"
"316",566,"녹십자 ""반값 건강검진 서비스 내놓겠다""","0"
"317",642,"“스마트폰 어려운 어르신, 유튜브서 꿀팁 배우세요”","0"
"318",792,"메타버스 매장에서 車·가전 써보고 산다","0"
"319",892,"‘고양이 영상’ 검열은 오해… 텔레그램 빠져 반쪽 법안","0"
"320",60,"카카오페이손해보험, '보안 미흡'…본허가 심사 길어진다","0"
"321",182,"네이버·카카오 공동투자 ‘엔닷라이트’… 메타버스 디자인툴 개발 [주간 VC 동향]","0"
"322",220,"카카오, '40대' 대표 공석 메울 후보군은....정의정·신정환·남궁훈 등 거론","0"
"323",278,"동학개미 계좌가 박살났다…올해 들어 평균 20% 손실","0"
"324",308,"강연·출판·SNS… 다 큰 어른들의 그림책 ‘덕질’","0"
"325",192,"삼성맨이 만든 '전자책' 스타트업, 1200억 유치…유니콘 등극","0"
"326",936,"'보호예수 폭탄'에 반등 불씨 꺼질라… 속타는 개미들","0"
"327",454,"미래산업은 배터리·반도체의 시대···젊은 총수들 ""뭉쳐야 산다""[대기업 합종연횡 바람]","0"
"328",506,"메타버스 중계로 골프대회 실감나게 본다","0"
"329",760,"“2%대 정기예금이 돌아왔다”··· 신협·새마을금고도 특판 들썩","0"
"330",574,"“2년짜리 프로젝트 석달에 끝내”…잇따라 터지는 ‘판교IT의 갑질’","0"
"331",512,"실적 날개 단 2K, ‘대작출시·해외진출’로 흥행 이어간다","0"
"332",700,"금융지주, 인뱅 진출 눈독 ""자격 주면 마다할 이유 없다""","0"
"333",162,"신용점수 높을수록 받기 힘든 카뱅대출, 드디어 풀린다","0"
"334",470,"`음원계 넷플릭스` 스포티파이, 한국서 매운맛","0"
"335",614,"韓 가전-IT 스마트홈 동맹...""美·中 잡는다""","0"
